"Order","Frc","tgball"
"Start","0","14.33"
"MX300 23","0.033333333","28.66"
"MX300 23","0.333333333","42.99"
"MX300 23","0.616666667","57.32"
"MX300 23","0.75","71.65"
"MX300 23","0.8","85.98"
"MX300 23","0.816666667","114.64"
"MX300 23","0.866666667","128.97"
"MX300 23","0.883333333","587.53"
"not Germ","1","99999"
