"Order","Frc","tgball"
"Start","0","20.33"
"MX300 29","0.183333333","40.66"
"MX300 29","0.533333333","60.99"
"MX300 29","0.616666667","81.32"
"MX300 29","0.75","101.65"
"MX300 29","0.8","121.98"
"MX300 29","0.866666667","142.31"
"MX300 29","0.883333333","304.95"
"MX300 29","0.9","833.53"
"not Germ","1","99999"
