"Order","Frc","tgball"
"Start","0","24.66"
"MX300 21","0.2","36.99"
"MX300 21","0.6","49.32"
"MX300 21","0.716666667","61.65"
"MX300 21","0.85","73.98"
"MX300 21","0.9","98.64"
"MX300 21","0.916666667","110.97"
"MX300 21","0.933333333","505.53"
"not Germ","1","99999"
