"Order","Frc","tgball"
"Start","0.016666667","22.33"
"MX300 31","0.183333333","44.66"
"MX300 31","0.566666667","66.99"
"MX300 31","0.733333333","89.32"
"MX300 31","0.766666667","111.65"
"MX300 31","0.783333333","133.98"
"MX300 31","0.816666667","156.31"
"MX300 31","0.883333333","178.64"
"MX300 31","0.9","245.63"
"MX300 31","0.916666667","290.29"
"MX300 31","0.933333333","915.53"
"not Germ","1","99999"
