"Order","Frc","tgball"
"Start","0","30.99"
"MX300 19","0.3","41.32"
"MX300 19","0.55","51.65"
"MX300 19","0.816666667","61.98"
"MX300 19","0.883333333","72.31"
"MX300 19","0.916666667","82.64"
"MX300 19","0.95","423.53"
"not Germ","1","99999"
