"Order","Frc","tgball"
"Start","0","16.33"
"MX300 25","0.166666667","32.66"
"MX300 25","0.766666667","48.99"
"MX300 25","0.9","81.65"
"MX300 25","0.983333333","97.98"
"MX300 25","1","669.53"
"not Germ","1","99999"
