"Order","Frc","tgball"
"Start","0","18.33"
"MX300 27","0.316666667","36.66"
"MX300 27","0.616666667","54.99"
"MX300 27","0.766666667","73.32"
"MX300 27","0.833333333","91.65"
"MX300 27","0.883333333","109.98"
"MX300 27","0.9","128.31"
"MX300 27","0.916666667","751.53"
"not Germ","1","99999"
