"Order","Frc","tgball"
"Start","0","24.99"
"MX300 17","0.066666667","33.32"
"MX300 17","0.183333333","41.65"
"MX300 17","0.266666667","49.98"
"MX300 17","0.433333333","58.31"
"MX300 17","0.616666667","66.64"
"MX300 17","0.716666667","74.97"
"MX300 17","0.766666667","83.3"
"MX300 17","0.816666667","91.63"
"MX300 17","0.833333333","99.96"
"MX300 17","0.85","108.29"
"MX300 17","0.866666667","341.53"
"not Germ","1","99999"
