No.of.Clods,Min.Size,P.on.serface,P.stuk.serface,P.stuk.soil
2,2,0.1,0.001,0.01
2,4,0.2,0.01,0.1
2,8,0.3,0.06,0.3
2,16,0.5,0.1,0.5
2,20,0.8,0.2,0.7
2,30,0.6,0.5,0.9
2,40,0.4,0.8,1
