No.of.Clods,Min.Size,P.on.serface,P.stuk.serface,P.stuk.soil
50,5,0.2,0.001,0.01
40,10,0.3,0.01,0.1
30,25,0.4,0.06,0.3
20,50,0.5,0.1,0.5
10,100,0.6,0.2,0.7
5,150,0.7,0.5,0.9
1,200,0.8,0.8,1
