No.of.Clods,Min.Size,P.on.serface,P.stuk.serface,P.stuk.soil
500,5,0.2,0.001,0.01
250,10,0.25,0.01,0.1
100,20,0.3,0.06,0.3
50,40,0.35,0.1,0.5
20,60,0.4,0.2,0.7
10,80,0.45,0,0.9
1,100,0.5,0,1
