"No.of.Clods","Min.Size","P.on.serface","P.stuk.serface","P.stuk.soil"
200,1,0.01,0.001,0.01
150,3,0.05,0.01,0.1
125,5,0.1,0.06,0.3
50,10,0.3,0.1,0.5
25,15,0.5,0.2,0.7
10,20,0.7,0.5,0.9
5,25,0.9,0.8,1
