x,y,z,ID,Gi,Hight,Emerge,Hit,Hit.H,Hit.oriant,Hit.size,Hit.stik
146,5,39,121,0,39,0,0,0,36,0.0,1
154,350,39,122,0,39,0,0,0,36,0.0,1
3,212,39,123,0,39,0,0,0,36,0.0,1
79,282,39,124,0,39,0,0,0,36,0.0,1
74,200,39,125,0,39,0,0,0,36,0.0,1
198,200,39,126,0,39,0,0,0,36,0.0,1
138,35,39,127,0,39,0,0,0,36,0.0,1
30,61,39,128,0,39,0,0,0,36,0.0,1
83,199,39,129,0,39,0,0,0,36,0.0,1
164,125,39,130,0,39,0,0,0,36,0.0,1
114,118,39,131,0,39,0,0,0,36,0.0,1
188,72,39,132,0,39,0,0,0,36,0.0,1
54,98,39,133,0,39,0,0,0,36,0.0,1
173,82,39,134,0,39,0,0,0,36,0.0,1
6,227,39,135,0,39,0,0,0,36,0.0,1
56,309,39,136,0,39,0,0,0,36,0.0,1
52,319,39,137,0,39,0,0,0,36,0.0,1
188,177,39,138,0,39,0,0,0,36,0.0,1
66,238,39,139,0,39,0,0,0,36,0.0,1
143,90,39,140,0,39,0,0,0,36,0.0,1
133,326,39,141,0,39,0,0,0,36,0.0,1
187,90,39,142,0,39,0,0,0,36,0.0,1
23,134,39,143,0,39,0,0,0,36,0.0,1
197,185,39,144,0,39,0,0,0,36,0.0,1
62,126,39,145,0,39,0,0,0,36,0.0,1
191,339,39,146,0,39,0,0,0,36,0.0,1
132,184,39,147,0,39,0,0,0,36,0.0,1
175,283,39,148,0,39,0,0,0,36,0.0,1
168,15,39,149,0,39,0,0,0,36,0.0,1
10,235,39,150,0,39,0,0,0,36,0.0,1
128,236,39,151,0,39,0,0,0,36,0.0,1
70,202,39,152,0,39,0,0,0,36,0.0,1
8,242,39,153,0,39,0,0,0,36,0.0,1
25,171,39,154,0,39,0,0,0,36,0.0,1
127,78,39,155,0,39,0,0,0,36,0.0,1
162,217,39,156,0,39,0,0,0,36,0.0,1
102,242,39,157,0,39,0,0,0,36,0.0,1
124,289,39,158,0,39,0,0,0,36,0.0,1
141,146,39,159,0,39,0,0,0,36,0.0,1
54,313,39,160,0,39,0,0,0,36,0.0,1
58,186,39,161,1,45.7743828275,y,0,0,36,0.0,1
28,91,39,162,0,39,0,0,0,36,0.0,1
143,281,39,163,0,39,0,0,0,36,0.0,1
30,210,39,164,0,39,0,0,0,36,0.0,1
89,104,39,165,0,39,0,0,0,36,0.0,1
116,309,39,166,0,39,0,0,0,36,0.0,1
77,122,39,167,0,39,0,0,0,36,0.0,1
116,76,39,168,1,45.7743828275,y,0,0,36,0.0,1
53,59,39,169,0,39,0,0,0,36,0.0,1
38,29,39,170,0,39,0,0,0,36,0.0,1
58,172,39,171,0,39,0,0,0,36,0.0,1
145,248,39,172,0,39,0,0,0,36,0.0,1
186,142,39,173,0,39,0,0,0,36,0.0,1
92,322,39,174,0,39,0,0,0,36,0.0,1
1,115,39,175,0,39,0,0,0,36,0.0,1
112,158,39,176,0,39,0,0,0,36,0.0,1
168,188,39,177,0,39,0,0,0,36,0.0,1
68,93,39,178,0,39,0,0,0,36,0.0,1
33,51,39,179,0,39,0,0,0,36,0.0,1
163,63,39,180,0,39,0,0,0,36,0.0,1
169,13,39,181,0,39,0,0,0,36,0.0,1
164,205,39,182,0,39,0,0,0,36,0.0,1
145,299,39,183,0,39,0,0,0,36,0.0,1
141,40,39,184,0,39,0,0,0,36,0.0,1
84,29,39,185,0,39,0,0,0,36,0.0,1
78,307,39,186,0,39,0,0,0,36,0.0,1
178,279,39,187,0,39,0,0,0,36,0.0,1
113,13,39,188,0,39,0,0,0,36,0.0,1
125,66,39,189,0,39,0,0,0,36,0.0,1
50,107,39,190,0,39,0,0,0,36,0.0,1
19,247,39,191,0,39,0,0,0,36,0.0,1
105,315,39,192,0,39,0,0,0,36,0.0,1
69,359,39,193,0,39,0,0,0,36,0.0,1
84,309,39,194,0,39,0,0,0,36,0.0,1
183,196,39,195,0,39,0,0,0,36,0.0,1
95,20,39,196,0,39,0,0,0,36,0.0,1
112,327,39,197,0,39,0,0,0,36,0.0,1
4,48,39,198,0,39,0,0,0,36,0.0,1
133,341,39,199,0,39,0,0,0,36,0.0,1
83,300,39,200,0,39,0,0,0,36,0.0,1
